Artist;Listeners;Daily Trend;Peak;PkListeners
Matheus Fernandes;10;225;156;58
Zion;10;224;872;15
AJR;10;205;951;25
Kenny Loggins;10;200;387;10
Wizkid;10;193;951;18
Marco Antonio SolÃ­s;10;190;863;1
Shadab Faridi;10;177;76;48
Three Days Grace;10;168;254;41
GAYLE;10;166;833;36
Kimbra;10;161;294;25
Yusuf / Cat Stevens;10;141;636;13
Hans Zimmer;10;132;691;21
Jessie Reyez;10;131;37;11
Lizzy McAlpine;10;123;490;37
Sadhana Sargam;10;114;594;2
Taiu;10;111;704;35
Owl City;10;95;113;12
Supertramp;10;76;850;45
NIKI;10;66;210;33
Simone Mendes;10;64;336;17
Chief Keef;10;46;109;6
Sting;10;42;495;4
MAGIC!;10;42;303;25
Natalia Lafourcade;10;31;467;23
Gera MX;10;31;334;12
Riton;10;25;454;4
TWICE;10;23;650;19
Sidhu Moose Wala;10;22;146;20
The Fray;10;4;725;1
Kelsea Ballerini;10;1;707;104
KayBlack;9;993;884;16
L7NNON;9;985;168;9
Grupo Menos Ã Mais;9;982;472;57
Trueno;9;974;71;7
INXS;9;960;38;1
Sleepy Hallow;9;942;289;75
Kany GarcÃ­a;9;940;323;12
Birdy;9;918;832;7
Mae Stephens;9;915;545;75
Alfredo Olivas;9;905;823;6
Bacilos;9;898;399;82
MC Cabelinho;9;894;565;1
Sum 41;9;888;73;15
Colbie Caillat;9;887;684;15
Los Tigres Del Norte;9;881;792;1
Juan Gabriel;9;873;768;36
Zac Efron;9;872;942;74
The Mamas & The Papas;9;870;923;8
sped up + slowed;9;853;625;21
Otis Redding;9;852;94;17
BÃRNS;9;846;185;7
Mc Pedrinho;9;822;284;21
Stormzy;9;813;546;19
Karthik;9;812;589;4
Dhvani Bhanushali;9;808;363;5
Jimmy Eat World;9;804;332;11
Tim McGraw;9;799;293;20
Rage Against The Machine;9;799;94;18
Jason Aldean;9;784;148;30
Icona Pop;9;756;151;37
Phoebe Bridgers;9;745;428;10
Tego CalderÃ³n;9;741;345;1
MK;9;741;98;76
Lunay;9;722;175;1
The Black Keys;9;720;99;40
C. Tangana;9;717;884;25
Ryan Gosling;9;714;871;284
Migrantes;9;711;549;81
Harris Jayaraj;9;711;316;359
BIA;9;706;788;96
Nadin Amizah;9;703;327;16
Fireboy DML;9;700;123;12
Isabel LaRosa;9;700;84;11
YOASOBI;9;695;52;28
Pedro CapÃ³;9;673;452;2
AgroPlay;9;670;733;10
Rascal Flatts;9;664;65;20
James Carter;9;656;139;7
Kailash Kher;9;653;755;48
JuliÃ³n Ãlvarez y su NorteÃ±o Banda;9;650;635;12
Mustard;9;644;589;5
Yuridia;9;643;462;23
Ofenbach;9;635;613;42
Cher;9;635;302;18
MARINA;9;630;446;24
ILLENIUM;9;625;234;16
Ozzy Osbourne;9;607;590;33
Bob Dylan;9;595;254;144
Young Nudy;9;589;594;60
AminÃ©;9;576;485;2
LE SSERAFIM;9;564;802;66
Heart;9;550;535;12
Pixies;9;546;160;12
Cordae;9;545;919;2
R. D. Burman;9;536;148;12
Jeet Gannguli;9;529;92;7
Takeoff;9;526;541;31
Fujii Kaze;9;505;719;24
Smash Mouth;9;494;485;44
Vicente FernÃ¡ndez;9;494;414;32
Kansas;9;491;265;6
Matt Sassari;9;482;324;1
Rag'n'Bone Man;9;480;937;54
Ghea Indrawari;9;471;480;33
Pink Sweat$;9;468;284;38
Shaan;9;464;733;10
GIMS;9;460;495;50
Hoobastank;9;455;35;882
Kaliii;9;446;479;13
Bonnie Tyler;9;446;349;6
Mon Laferte;9;437;178;7
Gnarls Barkley;9;429;897;70
Thalia;9;419;663;2
No Doubt;9;417;196;985
M.I.A.;9;394;684;36
Sfera Ebbasta;9;379;484;30
Snow Patrol;9;378;617;7
Eric Church;9;368;340;10
Ghost;9;367;569;25
DMX;9;361;469;12
Louis Armstrong;9;343;207;27
Carla Morrison;9;341;520;23
ZZ Top;9;327;449;12
El Fantasma;9;318;583;79
Wolfine;9;306;575;779
Lola Indigo;9;304;364;32
Dilsinho;9;304;49;36
ENHYPEN;9;300;952;8
Ski Mask The Slump God;9;300;723;16
Mahalini;9;284;52;885
Tulus;9;281;231;12
Sam Hunt;9;279;20;66
Bakar;9;258;923;42
MC PH;9;252;105;30
XamÃ£;9;250;304;11
Oliver Heldens;9;245;688;66
Dj Nk Da Serra;9;242;132;25
Will Smith;9;233;761;9
AjayAtul;9;225;258;8
Kool & The Gang;9;222;624;13
DJ Matt D;9;219;446;5
The Temptations;9;207;779;22
Bryant Myers;9;188;847;12
Portugal. The Man;9;181;962;46
G. V. Prakash;9;180;441;21
Noriel;9;176;518;7
Jasiel NuÃ±ez;9;176;316;221
Avenged Sevenfold;9;167;765;4
Jimi Hendrix;9;153;763;4
Miranda!;9;137;951;49
Rvssian;9;136;365;27
Shiloh Dynasty;9;129;528;15
Edgardo NuÃ±ez;9;125;900;20
Ranveer Singh;9;119;186;82
The Who;9;116;666;9
Asha Bhosle;9;113;946;18
Kavita Krishnamurthy;9;113;938;10
Vulgo FK;9;106;488;17
Karan Aujla;9;81;861;13
Ãngela Aguilar;9;75;992;55
Saweetie;9;62;270;15
Jon Pardi;9;60;857;23
Capital Cities;9;60;812;32
PolimÃ¡ Westcoast;9;56;736;26
Jimin;9;50;703;26
Rajat Nagpal;9;50;536;1
Willy William;9;48;318;49
SajidWajid;9;40;861;22
Oliver Anthony Music;9;40;509;168
Micro TDH;9;24;902;27
HUGEL;9;8;768;13
SachetParampara;9;6;803;4
Simple Minds;8;995;75;12
ScHoolboy Q;8;991;45;8
Benny Benassi;8;990;809;27
Duran Duran;8;981;644;9
Beastie Boys;8;963;32;28
Deftones;8;960;980;14
Lykke Li;8;941;780;14
MAX;8;940;330;20
Tito El Bambino;8;936;710;26
Andy Grammer;8;933;805;13
Sufjan Stevens;8;929;85;22
Paloma Faith;8;919;709;10
NATTAN;8;914;591;28
Dread Mar I;8;911;243;75
Blake Shelton;8;906;722;9
Roop Kumar Rathod;8;904;481;17
Guru Randhawa;8;894;713;3
Joey Bada$$;8;892;251;2
Sublime;8;883;246;11
Diego & Victor Hugo;8;870;831;76
The Verve;8;869;659;4
Alan Jackson;8;867;885;12
Internet Money;8;862;363;4
Fetty Wap;8;857;960;3
Men At Work;8;853;821;55
John Denver;8;844;512;9
MÃ¶tley CrÃ¼e;8;840;68;3
Vacations;8;837;886;15
Nathan Dawe;8;837;246;28
Odetari;8;829;162;12
FINNEAS;8;825;874;5
JavedMohsin;8;819;514;3
Chicago;8;818;9;25
Missy Elliott;8;801;557;46
dhruv;8;798;928;8
LMFAO;8;794;691;12
Ella Eyre;8;793;489;12
Juan MagÃ¡n;8;785;89;11
Miguel BosÃ©;8;777;253;16
The Doobie Brothers;8;772;139;11
Thirty Seconds To Mars;8;754;139;14
Surf Curse;8;737;310;27
Soft Cell;8;734;889;16
Norah Jones;8;732;547;1
The Outfield;8;729;389;28
Kodaline;8;721;488;8
Aya Nakamura;8;707;829;2
The Cardigans;8;700;371;12
Richy Mitch & The Coal Miners;8;698;174;47
altJ;8;692;531;901
Rvfv;8;688;100;79
Miggy Dela Rosa;8;680;113;36
Two Feet;8;672;429;25
Nikhita Gandhi;8;671;895;3
Anggi Marito;8;668;727;22
Ali Gatie;8;667;629;19
The Jackson 5;8;667;464;27
King Von;8;651;347;32
VIZE;8;642;634;23
Creeds;8;642;479;16
Steve Miller Band;8;635;996;23
Talking Heads;8;633;94;4
The MarÃ­as;8;615;841;22
Of Monsters and Men;8;606;23;12
Kenny Chesney;8;604;177;20
Tiara Andini;8;600;932;10
Ricardo Arjona;8;561;463;13
Hugo & Guilherme;8;551;755;44
LANY;8;534;453;13
Zack Tabudlo;8;533;787;2
Sandro Cavazza;8;523;25;16
Standly;8;521;204;23
Mahalakshmi Iyer;8;518;616;21
Duncan Laurence;8;507;203;9
Maggie Rogers;8;495;392;17
ACRAZE;8;491;332;22
Montell Fish;8;480;575;7
Grey;8;479;73;13
Bakermat;8;470;425;25
George Strait;8;453;718;25
JosÃ© JosÃ©;8;451;387;2
Dynoro;8;443;837;21
Tom Grennan;8;443;9;29
Gerardo Coronel;8;435;290;21
Paul Simon;8;427;600;17
Men I Trust;8;422;936;15
Old Dominion;8;414;360;2
Supernova Ent;8;413;196;511
Haze;8;411;986;21
Sheryl Crow;8;407;938;33
Davido;8;384;146;7
Dj Brunin XM;8;380;916;71
Dido;8;380;69;15
LUM!X;8;371;785;10
Stray Kids;8;369;900;17
Darius Rucker;8;357;257;20
Starship;8;344;274;4
Cheat Codes;8;329;659;9
Intense;8;323;154;50
Ray Charles;8;307;733;22
America;8;301;858;7
Lenin RamÃ­rez;8;298;740;68
Deorro;8;287;12;1
Lauren Spencer Smith;8;280;624;7
Calle 13;8;280;623;23
Pailita;8;274;728;1
Gerardo Ortiz;8;273;401;18
Mainstreet;8;271;320;16
Fugees;8;267;43;13
Rekha Bhardwaj;8;261;857;30
HARDY;8;259;284;9
Carlos Rivera;8;256;388;15
Blxst;8;254;144;11
Bibi Babydoll;8;235;771;69
Mc Paiva ZS;8;226;490;25
Dei V;8;223;830;161
The Vamps;8;202;829;12
OMI;8;189;540;2
ZÃ© Felipe;8;185;635;18
Tom Petty and the Heartbreakers;8;183;763;23
LiL CaKe;8;181;885;69
Bvga Beatz;8;180;663;1
Mabel;8;176;213;14
Santhosh Narayanan;8;168;323;978
Abhijeet;8;166;513;11
Varun Jain;8;157;904;57
Alan Menken;8;137;451;13
Lee Brice;8;137;236;11
Tito Double P;8;130;307;302
Miranda Lambert;8;126;24;3
Iron Maiden;8;124;167;20
Robert Miles;8;120;653;6
Willie Nelson;8;118;773;2
Dusty Springfield;8;111;448;19
MKTO;8;109;415;11
Ha*Ash;8;106;767;11
Sash!;8;106;511;22
Niklas Dee;8;99;854;62
JP Saxe;8;87;369;49
Omar Apollo;8;84;417;29
Casper Magico;8;78;984;19
Cody Johnson;8;78;447;10
Elderbrook;8;77;241;15
American Authors;8;71;697;4
WIU;8;68;432;61
Mc Daniel;8;65;244;157
Jessie Murph;8;54;504;35
Oh Wonder;8;51;793;53
Haricharan;8;47;463;986
Gminxr;8;45;882;7
aespa;8;43;255;47
Keith Urban;8;34;893;28
BYOR;8;29;798;26
La Bouche;8;15;450;22
UB40;8;6;128;29
JP Cooper;7;998;244;15
Nina Simone;7;984;417;5
Beach Bunny;7;976;203;52
Shweta Mohan;7;976;95;4
Selena;7;967;272;2
John Travolta;7;966;275;26
Rashmi Virag;7;965;128;14
Victoria MonÃ©t;7;961;706;79
DJ 900;7;958;328;16
MC Hariel;7;952;216;5
Sin Bandera;7;951;414;23
Majid Jordan;7;941;253;23
Murilo Huff;7;938;749;47
Years & Years;7;938;369;1
Diana Ross;7;932;655;4
Gryffin;7;931;217;21
Neeraj Shridhar;7;927;290;6
Boston;7;911;611;1
Brooks & Dunn;7;911;538;5
VINAI;7;909;742;58
4 Non Blondes;7;906;98;4
Jay Sean;7;903;833;152
Parmish Verma;7;895;534;1
Cali Y El Dandee;7;894;580;19
Why Don't We;7;893;717;52
Ana Gabriel;7;891;142;6
Belinda;7;876;933;865
Skillet;7;859;277;22
Keyshia Cole;7;858;105;37
Lady A;7;845;144;34
Patrick Watson;7;837;595;2
IVE;7;834;887;29
Mario;7;832;468;5
Pineapple StormTv;7;828;956;31
Freddie Dredd;7;828;226;7
J Hus;7;824;659;22
The Animals;7;817;616;10
Mike WiLL MadeIt;7;813;540;78
El Jordan 23;7;812;264;2
Omega;7;808;481;19
ZECCA;7;806;625;38
Luny Tunes;7;800;306;5
Haddaway;7;800;181;16
Shaarib Toshi;7;784;926;1
Antara Mitra;7;784;493;23
Sam Cooke;7;781;786;2
Iggy Azalea;7;781;657;4
Nusrat Fateh Ali Khan;7;778;749;88
Powfu;7;778;111;13
George Harrison;7;766;172;2
Etta James;7;760;975;3
Caralisa Monteiro;7;753;51;7
Jul;7;744;953;16
John Summit;7;731;291;21
Masked Wolf;7;731;75;3
Crazy Mano;7;730;113;24
Audioslave;7;718;558;10
Kavita Seth;7;711;859;891
GAMPER & DADONI;7;710;169;8
Brando;7;706;875;19
Virgoun;7;705;521;508
Palak Muchhal;7;704;874;26
David Bisbal;7;689;627;11
Novo Amor;7;688;177;16
Baco Exu do Blues;7;685;466;43
Wallows;7;683;386;78
Jungle;7;678;435;2
Axwell /\ Ingrosso;7;674;902;11
Def Leppard;7;672;897;3
Two Door Cinema Club;7;660;633;15
Naresh Iyer;7;657;475;12
Nick Jonas;7;656;611;4
Bob Seger;7;650;690;43
Tion Wayne;7;646;535;24
Cascada;7;633;823;4
Kenny Rogers;7;625;35;15
Connor Price;7;622;811;6
Queens of the Stone Age;7;621;932;12
Tz da Coronel;7;620;486;5
Laura Pausini;7;615;297;13
Guaynaa;7;611;74;12
Marc SeguÃ­;7;596;817;4
HAIM;7;591;333;66
Wall Hein;7;591;186;39
Natasha Bedingfield;7;586;238;13
Joan Jett & the Blackhearts;7;580;144;37
Lainey Wilson;7;573;256;4
Vintage Culture;7;569;887;13
Julian Perretta;7;565;70;19
RÃ­o Roma;7;550;315;507
Pamungkas;7;549;92;8
Jelly Roll;7;544;680;13
Mother Mother;7;542;393;10
Ilaiyaraaja;7;539;60;3
Alice In Chains;7;538;490;13
Trey Songz;7;535;981;39
Rich Brian;7;532;714;698
Neil Diamond;7;529;562;3
Lil Mosey;7;524;816;4
The Paper Kites;7;524;426;25
Rod Wave;7;523;338;21
BoyWithUke;7;515;875;18
Pepe Aguilar;7;500;285;24
MIKA;7;498;963;11
Hiphop Tamizha;7;498;378;5
Cristian Castro;7;495;718;192
Raim Laode;7;492;300;8
AlemÃ¡n;7;484;783;41
The Temper Trap;7;478;706;408
Genesis;7;477;33;2
MF DOOM;7;472;553;4
Soolking;7;469;582;5
Ella Mai;7;467;769;11
Jon Z;7;467;728;20
Carlos Baute;7;465;0;23
The Wanted;7;461;981;3
Rise Against;7;461;922;1
Jaideep Sahni;7;460;475;11
Dennis Lloyd;7;459;916;35
Alisha Chinai;7;450;826;16
Kevin Kaarl;7;449;806;14
Iyaz;7;442;603;4
Ricardo Montaner;7;441;261;21
La Arrolladora Banda El LimÃ³n De Rene Camacho;7;436;924;6
Chris Jedi;7;433;356;16
MÃ;7;427;902;25
Franz Ferdinand;7;425;790;14
Leo Santana;7;424;473;39
Mc IG;7;424;60;91
Melody;7;419;451;8
Neon Trees;7;410;573;6
Kishore Kumar;7;398;777;14
Manuel Medrano;7;392;499;60
RocÃ­o DÃºrcal;7;388;763;3
Roy Orbison;7;388;425;15
Young the Giant;7;385;436;48
Franco De Vita;7;378;841;6
Trinix;7;374;660;5
Sleeping At Last;7;370;266;6
Tinashe;7;367;881;78
Incubus;7;359;385;6
Beck;7;359;167;13
Chuck Berry;7;353;276;6
Ludovico Einaudi;7;346;111;5
Johann Sebastian Bach;7;343;195;20
Feby Putri;7;341;988;2
ZoÃ©;7;340;262;5
MatuÃª;7;330;801;23
Nakash Aziz;7;330;453;48
Hindia;7;329;545;20
Gazo;7;329;253;26
Kanii;7;328;172;6
JENNIE;7;322;686;36
Kenshi Yonezu;7;322;583;31
Ikky;7;319;262;34
BONES;7;310;305;21
Edward Maya;7;309;240;2
Sofi Tukker;7;308;618;13
KAYTRANADA;7;302;87;14
Fitz and The Tantrums;7;299;169;8
Fivio Foreign;7;298;121;9
Lil Jon;7;297;27;9
SEVENTEEN;7;288;318;7
Jarabe De Palo;7;276;410;23
Simple Plan;7;268;208;6
Omah Lay;7;259;159;32
Whethan;7;258;84;98
Gracie Abrams;7;249;522;5
DVRST;7;246;959;7
*NSYNC;7;246;621;9
Los Dos Carnales;7;239;280;61
Leona Lewis;7;227;33;411
Shashaa Tirupati;7;221;220;6
The Kooks;7;219;432;13
PEDRO SAMPAIO;7;218;461;11
Cole Swindell;7;214;84;45
Filipe Ret;7;208;354;2
Stebin Ben;7;205;929;45
Omar Montes;7;202;554;84
Alanis Morissette;7;201;702;28
AndrÃ©s Calamaro;7;196;124;4
Dhanush;7;195;908;1
Social House;7;183;419;13
BM;7;178;472;4
Chelsea Cutler;7;176;118;51
Father John Misty;7;173;121;12
Tochi Raina;7;160;325;13
The AllAmerican Rejects;7;155;666;750
Ankit Tiwari;7;150;276;3
Arunraja Kamaraj;7;148;230;5
Alex Rose;7;142;587;1
Fatboy Slim;7;141;845;31
Banda El Recodo;7;137;912;5
Rick Astley;7;133;112;6
Pol Granch;7;122;367;38
Luciano;7;114;338;39
Irene Cara;7;114;257;9
Gulzar;7;112;796;9
Ivan Cornejo;7;112;184;40
Gloria Gaynor;7;109;687;14
The Kinks;7;103;888;2
Gente De Zona;7;103;169;2
The Proclaimers;7;102;855;20
Vijay Prakash;7;101;591;7
Hades66;7;83;886;6
Paulina Rubio;7;78;202;21
Eros Ramazzotti;7;73;325;20
Travis Barker;7;71;955;3
Aaliyah;7;69;471;11
Lasso;7;63;765;20
CNCO;7;48;852;213
Far East Movement;7;25;256;54
AFROJACK;7;21;172;22
Idina Menzel;7;20;457;4
TarcÃ­sio do Acordeon;7;19;652;32
Brandi Carlile;7;10;142;15
Kxllswxtch;7;4;753;261
La Joaqui;7;1;250;47
Harrdy Sandhu;6;994;619;8
All Time Low;6;993;590;8
CafÃ© Tacvba;6;992;70;20
Kausar Munir;6;991;44;20
Surfaces;6;985;635;28
Crowded House;6;974;771;3
Intocable;6;973;56;3
GROUPLOVE;6;968;705;31
Sixpence None The Richer;6;965;766;19
Soundgarden;6;961;415;2
Ricky Montgomery;6;961;44;29
Fat Joe;6;956;966;1
Anuradha Paudwal;6;954;8;920
Fiersa Besari;6;952;560;4
Melendi;6;947;912;30
JT;6;942;888;75
Jory Boy;6;941;873;9
Hippie Sabotage;6;941;785;11
Angel Y Khriz;6;938;642;4
Manoj Muntashir;6;933;450;21
Baby Rasta;6;928;966;9
Adolescent's Orquesta;6;928;491;18
Dyamante DJ;6;928;359;24
Calle 24;6;923;319;322
Katrina & The Waves;6;916;936;18
Five Finger Death Punch;6;916;97;8
Aditya A;6;912;215;22
Ninho;6;908;301;8
Heuss L'enfoirÃ©;6;907;181;17
Tom Walker;6;904;341;12
Gajendra Verma;6;900;509;18
Mika Singh;6;899;685;12
Tinie Tempah;6;898;942;13
NUEKI;6;896;804;34
Meet Bros.;6;896;158;2
Europe;6;894;430;11
MC Rogerinho;6;893;155;72
Orochi;6;893;12;8
Ajaxx;6;888;729;9
Salve Malak;6;886;628;36
Willie ColÃ³n;6;884;967;10
Luar La L;6;876;457;22
Don McLean;6;873;385;20
DJ Jeeh FDC;6;872;417;58
Denzel Curry;6;871;793;29
$NOT;6;867;326;3
Marquinho no Beat;6;866;543;1
Ja Rule;6;865;884;1
Zoe Wees;6;860;27;15
Skylar Grey;6;860;19;27
twocolors;6;859;492;34
Arjun Kanungo;6;855;585;2
London Symphony Orchestra;6;853;42;5
Marca MP;6;850;333;3
The Cars;6;843;957;9
Eve;6;837;499;2
Hardwell;6;836;444;11
KC & The Sunshine Band;6;833;764;29
Culture Club;6;827;923;6
Prezioso;6;824;156;2
Don Diablo;6;822;904;13
NBSPLV;6;813;260;44
Trevor Daniel;6;809;162;43
SLANDER;6;807;380;431
Yung Gravy;6;802;418;5
Tiakola;6;801;231;113
G Herbo;6;799;383;4
wave to earth;6;795;966;58
D.O.D;6;795;558;22
Falling In Reverse;6;789;582;12
Matchbox Twenty;6;789;98;36
Ludwig van Beethoven;6;784;662;16
YUNGBLUD;6;779;584;16
Gloria Groove;6;774;629;48
Naeleck;6;771;986;44
Lily Allen;6;768;399;987
Ferrugem;6;768;151;12
Marilyn Manson;6;764;181;3
Dom Dolla;6;763;137;4
Shafqat Amanat Ali;6;755;745;13
Kenia OS;6;752;449;3
Jamie Miller;6;748;550;21
HVME;6;745;395;10
Dreamville;6;741;877;4
BANNERS;6;740;96;1
Lil Pump;6;738;805;7
Ayushmann Khurrana;6;730;227;52
Toosii;6;720;793;22
Duke Dumont;6;714;435;223
Megan Moroney;6;714;429;31
Masego;6;710;253;25
Callejero Fino;6;699;575;34
Gloria Estefan;6;696;606;6
88rising;6;695;82;2
Kina;6;684;382;8
Michelle Maciel;6;683;457;34
Cavetown;6;683;6;14
Gloria Trevi;6;671;30;5
KEVIN ROLDAN;6;670;587;16
Ace of Base;6;665;71;10
Billy Ray Cyrus;6;664;516;10
Adriano Rhod;6;661;405;8
Ludacris;6;656;208;7
Joyner Lucas;6;655;489;65
Deep Purple;6;655;221;5
Marta SÃ¡nchez;6;651;729;17
Los Bukis;6;650;734;22
J Alvarez;6;643;715;10
Anand Raj Anand;6;643;405;4
42 Dugg;6;641;927;978
Lalo Ebratt;6;638;947;8
Michael Schulte;6;638;878;14
Astrid S;6;638;440;13
La Quinta Estacion;6;637;722;3
Mariah Angeliq;6;636;670;21
Los Dareyes De La Sierra;6;629;412;25
Martin Jensen;6;628;882;10
Moby;6;627;516;10
Mc Delux;6;623;143;142
Slowboy;6;622;381;33
Jim Croce;6;618;827;34
Garry Sandhu;6;612;739;8
Joe Cocker;6;612;505;6
LeÃ³n Larregui;6;610;309;1
Tony Aguirre;6;605;280;22
Faye Webster;6;604;99;14
Cassie;6;600;844;95
Dierks Bentley;6;587;642;7
JISOO;6;587;66;27
Djonga;6;585;287;32
Roar;6;584;165;27
Commodores;6;583;230;21
Russ Millions;6;580;755;75
Toby Keith;6;578;635;12
Seether;6;562;468;4
Vansire;6;555;870;4
Thalapathy Vijay;6;551;458;452
Khruangbin;6;550;844;24
Eric Prydz;6;550;251;26
Buffalo Springfield;6;546;262;13
Fonseca;6;537;169;4
Aziz Hedra;6;534;748;29
Shakthisree Gopalan;6;529;743;5
Yot Club;6;528;885;2
Nightcrawlers;6;528;478;548
Stone Temple Pilots;6;522;596;3
Frankie Valli & The Four Seasons;6;520;167;1
ITZY;6;519;820;14
Ray Dalton;6;514;778;26
Al Green;6;514;184;1
Hesham Abdul Wahab;6;508;213;33
Cypress Hill;6;507;932;17
El Komander;6;506;480;45
Oruam;6;501;359;5
Yeah Yeah Yeahs;6;496;342;11
Greeicy;6;495;794;21
Plain White T's;6;492;980;8
Ashanti;6;488;95;1
Dallass;6;483;772;4
Oxlade;6;479;249;39
The Living Tombstone;6;477;40;6
Nessa Barrett;6;476;686;1
Xand AviÃ£o;6;473;567;7
Aldo Ranks;6;469;819;187
Rob49;6;460;755;58
Olly Murs;6;459;605;5
Gilberto Santa Rosa;6;454;977;4
Emma Steinbakken;6;452;619;49
Tai Verdes;6;451;469;5
Ãneheart;6;450;810;2
Gala;6;450;84;22
Armani White;6;449;540;10
YouNotUs;6;442;258;61
Cardenales De Nuevo LeÃ³n;6;442;248;7
ODESZA;6;439;18;16
9lives;6;436;516;55
Dustin Lynch;6;429;689;18
JACKBOYS;6;427;448;48
Nat King Cole;6;424;44;24
Prod Malax;6;423;641;15
KSHMR;6;423;232;65
The Hollies;6;421;257;12
Lyodra;6;420;673;634
Elle King;6;406;688;19
ARIZONATEARS;6;402;514;14
Bruno & Marrone;6;402;394;7
Charlie Brown Jr.;6;395;800;10
Matisse;6;395;675;20
Pet Shop Boys;6;391;57;9
El Chapo De Sinaloa;6;380;886;20
Dhee;6;369;496;16
Sujatha;6;363;931;6
Eric Land;6;361;809;18
Asal Kolaar;6;359;807;15
Neo Beats;6;353;375;4
Pantera;6;352;954;731
Nes;6;350;695;1
The Alchemist;6;349;631;29
Bronco;6;348;574;5
Apache 207;6;348;87;9
Mc Mika;6;347;445;87
Creed;6;346;909;1
Aitch;6;345;876;37
Romy;6;341;223;4
WuTang Clan;6;339;135;9
Ashnikko;6;333;6;15
Nagalli;6;329;411;6
ATB;6;328;964;19
Alvaro Soler;6;313;179;31
Sanjay Leela Bhansali;6;313;35;16
1nonly;6;311;800;9
Kotim;6;307;280;7
LATIN MAFIA;6;300;549;66
Jimmy Buffett;6;299;79;126
Crystal Castles;6;295;742;10
Dj Chris No Beat;6;294;614;18
Blackstreet;6;291;795;3
John Mellencamp;6;291;748;11
Mr.Kitty;6;283;377;5
Toploader;6;279;695;1
Tinlicker;6;278;297;19
Lauren Daigle;6;274;604;69
Ramones;6;274;31;39
Nardo Wick;6;272;333;166
Anuv Jain;6;271;234;21
Yandar & Yostin;6;269;339;62
Banda Los Recoditos;6;263;940;13
raissa anggiani;6;263;503;205
Krono;6;250;635;5
Vampire Weekend;6;248;992;11
Breaking Benjamin;6;248;245;2
Indila;6;243;88;7
Lazza;6;241;608;5
Mr. Probz;6;238;270;15
deadmau5;6;236;404;488
Muni Long;6;234;161;29
Maite Perroni;6;233;154;15
Semicenk;6;230;358;8
Disciples;6;229;481;3
Stealers Wheel;6;229;304;19
Aaron Smith;6;228;800;6
W&W;6;227;682;24
Clayton & RomÃ¡rio;6;226;246;14
Vijay Yesudas;6;203;484;2
Abraham Mateo;6;202;925;105
TAEYANG;6;199;305;14
CamelPhat;6;196;763;1
Luck Ra;6;196;63;17
Perera DJ;6;194;583;16
Matt Maltese;6;191;642;618
Leo Dan;6;188;698;24
Matoma;6;187;522;8
Tungevaag;6;184;876;12
Ginuwine;6;181;400;5
Beret;6;178;616;1
ERNEST;6;175;500;11
JoÃ£o Gomes;6;174;941;29
RXDXVIL;6;174;620;9
Hiko;6;171;871;34
Teto;6;169;689;654
RÃFÃS DU SOL;6;167;32;1
Wale;6;161;904;17
Waka Flocka Flame;6;152;82;30
Majestic;6;148;938;6
Steely Dan;6;147;794;5
Bobby Pulido;6;141;278;9
Grimes;6;141;85;8
Ãwnboss;6;139;329;319
The xx;6;136;436;30
Corinne Bailey Rae;6;131;123;10
Last Child;6;129;837;21
M. M. Keeravani;6;128;106;6
EXO;6;122;742;3
PÃ©ricles;6;120;316;28
Young Money;6;116;602;11
Wolfgang Amadeus Mozart;6;115;385;12
Bea Miller;6;110;833;6
Wyclef Jean;6;107;463;6
Natalie Imbruglia;6;106;752;10
Kiki Dee;6;104;917;1
Adriel Favela;6;101;314;24
Pusha T;6;87;929;23
Celia Cruz;6;85;576;6
Dulce MarÃ­a;6;81;569;17
Dxrk ãã¼ã¯;6;78;343;1
NCT DREAM;6;72;997;6
Sara Bareilles;6;65;678;21
Cuco;6;62;905;12
Neoni;6;62;594;3
Suki Waterhouse;6;60;605;12
The National;6;57;136;6
Kid Rock;6;57;13;27
The Blessed Madonna;6;54;307;8
Lilly Wood and The Prick;6;52;127;9
Mc Poze do Rodo;6;43;724;3
