Artist;Listeners;Daily Trend;Peak;PkListeners
Panter BÃ©lico;6;43;31;38
Ovi;6;39;802;21
Jazzy;6;35;596;4
Sukriti Kakar;6;33;425;26
Bellakath;6;32;859;17
LP;6;32;591;36
BENEE;6;23;434;121
Obongjayar;6;21;166;211
bÃ´a;6;10;913;26
RBD;6;9;647;14
Lauana Prado;6;6;630;12
Sadfriendd;6;4;133;521
New Order;5;999;430;13
Shinedown;5;998;829;4
FrÃ©dÃ©ric Chopin;5;998;524;15
Los AutÃ©nticos Decadentes;5;996;276;1
Sheck Wes;5;991;735;6
Alle Farben;5;984;512;1
Westside Gunn;5;984;415;54
Chris Young;5;983;454;35
CRO;5;980;932;14
Pesado;5;978;102;38
Bruno Martini;5;977;863;4
Chase & Status;5;976;556;18
La Roux;5;974;833;30
Kevin Gates;5;973;41;4
Akhil;5;965;770;1
Conor Maynard;5;962;639;12
ThxSoMch;5;958;414;30
Carly Simon;5;946;527;38
DIVINE;5;942;55;56
Mc Kevin;5;937;708;19
gnash;5;936;780;58
DDG;5;936;525;2
The Emotions;5;930;566;1
Ski Aggu;5;923;929;10
Chefin;5;920;459;18
Sam C.S.;5;913;782;55
11:11 Music Group;5;906;998;19
Simply Red;5;894;467;3
Stevie Nicks;5;891;672;37
Billy Currington;5;890;547;17
Lucky Daye;5;888;435;2
IU;5;887;646;12
Rainbow Kitten Surprise;5;883;763;20
Air Supply;5;882;855;15
Anvita Dutt;5;873;856;14
Mc Davi;5;872;226;12
Alejo;5;869;706;97
Boza;5;855;587;13
AnahÃ­;5;852;75;18
Kaskade;5;849;6;13
The Bangles;5;843;492;1
Grupo Niche;5;842;270;2
Phantogram;5;839;773;388
The Pointer Sisters;5;838;959;6
RADWIMPS;5;836;676;5
Lennon Stella;5;828;897;17
Duelo;5;827;392;12
Pat Benatar;5;825;536;5
Arizona Zervas;5;823;590;4
Alvaro Diaz;5;823;414;7
Jet;5;823;302;11
Ana Mena;5;820;910;10
Suzanne D'Mello;5;819;657;11
JubÃ«l;5;819;473;23
Cat Burns;5;817;846;31
Frankie Ruiz;5;817;729;9
Gabby Barrett;5;817;342;3
Brett Young;5;813;932;43
thuy;5;808;15;17
GoldLink;5;807;342;10
Rob Zombie;5;806;788;6
Ana BÃ¡rbara;5;804;841;17
Chris Isaak;5;802;66;4
Peter Gabriel;5;801;260;7
Madism;5;801;190;44
Dillon Francis;5;800;827;1
TRASHXRL;5;799;172;14
Red Velvet;5;797;937;6
A Touch Of Class;5;797;608;5
Alexander Stewart;5;792;141;43
La Mosca TseTse;5;791;36;327
Kenny Dope;5;790;912;4
Steppenwolf;5;790;885;14
MC Menor MT;5;787;911;334
Chino & Nacho;5;786;852;10
Mike Perry;5;786;843;45
LilyRose Depp;5;786;818;39
Bryan Martin;5;786;225;356
ChitÃ£ozinho & XororÃ³;5;784;285;23
Hungria Hip Hop;5;782;625;3
Tyler Hubbard;5;781;660;72
Sub Urban;5;779;107;7
James Taylor;5;775;165;3
Whitesnake;5;773;102;1
Caifanes;5;772;645;15
Martin Solveig;5;772;235;12
Rich The Kid;5;770;895;15
Beny Jr;5;768;253;12
Naldo Benny;5;767;816;3
Elevation Worship;5;759;350;6
PSY;5;756;616;11
Kris Kross Amsterdam;5;753;650;19
Money Man;5;752;902;35
Wings;5;746;821;13
Virlan Garcia;5;742;273;28
ValentÃ­n Elizalde;5;739;586;6
Bas;5;736;32;71
LSD;5;735;368;11
Los Temerarios;5;734;984;36
Naps;5;732;205;11
Yo Gotti;5;730;514;44
Tom Jones;5;729;399;37
Christian ChÃ¡vez;5;727;190;18
A Tribe Called Quest;5;726;158;5
La Ley;5;719;979;24
Los Fabulosos Cadillacs;5;719;340;2
RAF Camora;5;717;441;21
Quality Control;5;716;972;28
Aastha Gill;5;715;876;535
Abhijay Sharma;5;709;827;28
Modern Talking;5;709;669;12
Teddy Swims;5;706;645;45
Paradox;5;705;107;11
Pierce The Veil;5;704;210;6
Mc JacareÌ;5;695;310;1
Alice Cooper;5;691;834;2
Vanessa Carlton;5;689;510;5
Ed Maverick;5;686;166;6
Cookin' On 3 Burners;5;685;420;5
Grover Washington  Jr.;5;685;91;15
Mark Morrison;5;683;79;5
Ricchi E Poveri;5;681;238;4
The Human League;5;680;811;667
Dayglow;5;674;850;16
City Girls;5;674;219;4
Leony;5;671;458;17
Dean Martin;5;670;370;33
Sam Fischer;5;667;558;6
salem ilese;5;666;254;9
Klaas;5;658;306;8
Nacho;5;657;267;27
TOLCHONOV;5;656;843;30
Capo Plaza;5;651;637;8
Yiyo Sarante;5;650;385;21
Edward Sharpe & The Magnetic Zeros;5;647;748;8
Good Charlotte;5;641;467;3
Asake;5;640;895;23
Luude;5;638;719;1
Codiciado;5;638;662;11
Mabel Matiz;5;636;924;786
Gaab;5;635;443;23
Bone ThugsNHarmony;5;633;774;52
GORDÃO DO PC;5;633;229;16
imase;5;632;923;11
Madhur Sharma;5;626;247;51
REO Speedwagon;5;626;38;7
Ari Abdul;5;623;507;11
Dopamine;5;623;391;2
The Rare Occasions;5;620;568;13
Cian Ducrot;5;617;338;37
Donna Summer;5;614;520;3
Riley Green;5;612;574;11
IZA;5;612;318;45
Janet Jackson;5;607;659;5
Afgan;5;605;853;22
Dubdogz;5;605;586;12
MoonDeity;5;604;684;6
Ghostemane;5;599;751;1
6arelyhuman;5;597;344;2
KIDDO;5;596;583;26
Andrea Bocelli;5;594;155;3
Frankie Valli;5;591;748;1
Dylan Scott;5;582;471;5
Au/Ra;5;582;389;8
AnandMilind;5;579;28;10
LGante;5;578;133;12
Turma do Pagode;5;575;97;38
Tom Rosenthal;5;573;894;2
Maldy;5;566;826;30
Omar Varela;5;564;940;41
Don Henley;5;560;94;890
southstar;5;548;972;13
Haley Reinhart;5;548;552;7
Luis Mexia;5;548;82;5
Eddie Santiago;5;539;283;17
Alan Gomez;5;532;449;420
Savage Garden;5;526;918;2
Stefflon Don;5;524;458;4
Jigar Saraiya;5;523;47;9
Baby Tate;5;520;562;10
Angus & Julia Stone;5;514;273;3
S. Janaki;5;513;29;2
Helsloot;5;508;0;37
N.W.A.;5;505;285;46
Volbeat;5;502;566;5
Flo Milli;5;501;444;41
Dewa 19;5;501;235;47
vaultboy;5;490;461;43
Yebba;5;482;727;569
Maninder Buttar;5;481;944;29
Gur Sidhu;5;481;672;25
Vidyasagar;5;478;898;1
Yung Lean;5;470;331;45
Keisya Levronka;5;469;605;32
Sezen Aksu;5;469;120;893
Thiaguinho;5;468;388;38
For Revenge;5;464;494;11
Mrs. GREEN APPLE;5;463;651;7
Awdella;5;463;582;2
Flowdan;5;463;217;41
YOVNGCHIMI;5;459;116;16
Still Woozy;5;457;956;10
Canserbero;5;457;808;12
Kim Carnes;5;452;849;23
El Chachito;5;448;677;18
Victor Thompson;5;448;503;16
Riar Saab;5;440;350;29
Clinton Kane;5;438;819;6
Gipsy Kings;5;434;951;7
Four Tops;5;432;920;11
Elefante;5;422;283;16
Lefty Sm;5;409;932;191
Lupe Fiasco;5;406;219;4
Sohail Sen;5;403;286;12
Sonder;5;400;651;10
Sevek;5;398;651;8
Teezo Touchdown;5;395;227;67
Jamie Foxx;5;394;594;3
Baby Gang;5;392;111;2
Huey Lewis & The News;5;391;967;13
Eiffel 65;5;390;391;16
LF SYSTEM;5;389;552;2
Roberto Carlos;5;386;395;4
CeeLo Green;5;383;566;53
Jennifer Warnes;5;381;530;7
ICON;5;377;896;217
Salim Merchant;5;377;661;8
UZI;5;374;125;11
MC Caja;5;371;985;47
SinÃ©ad O'Connor;5;365;408;63
Mufasa & Hypeman;5;363;435;4
g3ox_em;5;360;272;8
Dexys Midnight Runners;5;359;413;11
Tujamo;5;358;925;5
K.Flay;5;357;591;8
Idgitaf;5;356;732;129
Supermode;5;353;187;11
Summer Cem;5;349;708;5
Bruno Major;5;347;53;8
Jacquees;5;346;989;71
Emmanuel;5;346;227;9
Vundabar;5;346;127;10
EnnyMae;5;345;22;55
Miky Woodz;5;344;736;10
Batas Senja;5;339;137;27
Daya;5;338;959;5
Borges;5;335;195;7
Lil Jon & The East Side Boyz;5;334;135;1
Chris Lake;5;332;706;5
The Chicks;5;332;535;17
El Padrinito Toys;5;328;495;11
Michael Giacchino;5;326;143;987
CJ;5;325;611;5
Xavier Wulf;5;320;312;4
Hillsong Worship;5;319;501;3
Fuego;5;319;105;13
Phoenix;5;318;692;2
Estelle;5;317;839;12
La K'onga;5;313;823;4
Jake Owen;5;313;820;17
Claude Debussy;5;310;857;17
Anuradha Sriram;5;307;403;64
Ingratax;5;304;725;36
Tornillo;5;303;346;11
Westlife;5;300;30;872
Mecano;5;299;434;6
Reyli Barba;5;292;459;6
Mae Muller;5;290;637;24
JEON SOMI;5;288;735;34
Skepta;5;287;855;2
FKJ;5;287;623;2
Damian Marley;5;285;846;3
The Kolors;5;281;135;17
Robin Thicke;5;280;360;7
GuÃ¨;5;280;88;3
Cedric Gervais;5;279;702;2
Vishal Chandrashekhar;5;276;593;249
CafunÃ©;5;273;275;6
Pretenders;5;269;480;4
Extreme;5;269;266;9
Zeeba;5;268;980;14
Alejandra Guzman;5;268;419;16
Boyz II Men;5;267;806;5
Randy;5;267;366;24
Yura Yunita;5;264;950;574
Hillsong UNITED;5;264;609;738
La Factoria;5;263;938;19
Brandy;5;262;182;17
6YNTHMANE;5;258;249;3
Marnik;5;257;714;40
Amaarae;5;256;368;5
Liam Payne;5;256;111;7
Deepend;5;255;763;20
Old Jim;5;253;672;65
R. City;5;250;888;15
Mobb Deep;5;248;92;9
Yasser Desai;5;247;211;505
The Calling;5;244;167;9
Megadeth;5;243;596;576
Budi Doremi;5;243;551;2
HÃ©ctor El Father;5;236;407;2
Paloma Mami;5;235;80;11
Hollow Coves;5;230;817;3
Lola Amour;5;224;235;2
Lifehouse;5;224;90;6
Mohammed Rafi;5;223;361;14
Declan McKenna;5;223;215;23
Dadju;5;222;196;1
AnnenMayKantereit;5;221;614;8
The Score;5;221;178;4
Damso;5;220;16;4
Travie McCoy;5;219;0;13
Slayer;5;216;826;8
DannyLux;5;211;483;73
Yohani;5;208;463;1
JÃ³sean Log;5;206;24;573
Lourena;5;203;305;46
Chord Overstreet;5;202;733;18
347aidan;5;202;19;33
Natalie Cole;5;200;736;6
AJ Tracey;5;200;593;147
Miksu / Macloud;5;197;746;15
Jakes Bejoy;5;195;616;33
Safri Duo;5;192;641;34
Punctual;5;190;803;6
Auli'i Cravalho;5;190;662;37
Love Funk;5;189;815;6
OFFICIAL HIGE DANDISM;5;189;533;13
Parker McCollum;5;187;842;13
Los 2 de la S;5;187;279;6
Vengaboys;5;184;467;4
Bausa;5;178;867;37
Yuri Redicopa;5;177;751;15
Seal;5;174;965;59
KYLE;5;171;771;12
Axwell;5;169;1;11
Sido;5;167;480;8
reidenshi;5;164;722;4
George Benson;5;160;734;14
AngÃ¨le;5;160;323;14
Tayc;5;158;404;7
The Monkees;5;154;577;9
creamy;5;151;580;16
Walker Hayes;5;145;882;23
Ami Mishra;5;145;747;10
Aditya Rikhari;5;142;370;2
Avvy Sra;5;142;370;11
Sadie Jean;5;139;811;11
Chris MC;5;137;527;10
Yoko Gold;5;136;51;16
Takagi & Ketra;5;136;51;13
Jamiroquai;5;133;107;8
Ruel;5;132;839;10
Delacruz;5;128;705;16
NDX A.K.A.;5;127;508;58
A Day To Remember;5;124;985;22
lucidbeatz;5;124;322;28
Elvis Crespo;5;124;57;28
Jerry Rivera;5;123;659;11
Eliza Rose;5;122;997;16
Edwin Luna y La Trakalosa de Monterrey;5;119;561;28
Surf Mesa;5;115;479;23
Polo Gonzalez;5;112;984;9
Nicky Romero;5;109;581;9
LUCKI;5;107;622;17
Jay Rock;5;106;970;5
Ezhel;5;106;840;33
ANAVITÃRIA;5;98;401;10
Twisted Sister;5;98;13;35
JosÃ© GonzÃ¡lez;5;96;721;8
John Williams;5;92;726;14
Ziva Magnolya;5;89;644;2
Walk off the Earth;5;81;215;16
Dimitri Vegas;5;79;816;7
Pras;5;79;689;8
Marina Sena;5;73;736;76
Vince Staples;5;72;348;7
Jere Klein;5;65;934;15
Jasmine Sandlas;5;65;433;3
Juhn;5;62;680;2
Tempoe;5;60;183;15
Neto PeÃ±a;5;58;813;21
Marracash;5;58;66;1
Kelis;5;56;77;9
Nathan Evans;5;55;84;6
Gurlez Akhtar;5;55;84;27
Billy Ocean;5;54;340;8
Sharn;5;46;311;5
Little Big Town;5;44;467;11
NATHY PELUSO;5;43;853;54
Mike BahÃ­a;5;43;730;19
DJ LUCAS DE PAULA;5;42;136;3
Naza;5;41;278;12
Mareux;5;40;544;8
zzoilo;5;39;199;9
Antonio Vivaldi;5;36;514;13
Yung Bleu;5;36;26;9
JÃ£o;5;35;661;38
Yuri;5;31;164;8
EST Gee;5;30;73;9
40k;5;28;741;6
Brad Paisley;5;27;48;4
Ivy Queen;5;19;585;8
DJ BOY;5;14;559;31
Young Dolph;5;14;82;8
NOTD;5;13;843;24
BLANCO;5;13;9;2
Murda;5;12;55;2
Rachel Platten;5;8;726;17
Lil' Kim;5;8;14;25
Aldo Trujillo;5;4;461;31
Jass Manak;5;4;461;25
Shenseea;4;996;101;68
Andy Rivera;4;990;719;9
Warren G;4;988;155;1
Pradeep Kumar;4;987;922;2
Felipe AraÃºjo;4;986;875;49
Cream;4;985;829;11
Amenazzy;4;985;133;2
mxmtoon;4;983;509;16
Lil Skies;4;981;194;2
Desiigner;4;977;846;10
Andmesh;4;975;313;1
Dr. Dog;4;974;738;10
Marisela;4;973;360;19
Alex Gaudino;4;972;442;18
Mau P;4;971;869;5
Judas Priest;4;971;296;9
NEIKED;4;970;151;16
Ella Fitzgerald;4;968;436;10
Dardan;4;966;724;59
Josh Turner;4;965;698;2
Brendon Urie;4;963;649;33
K. J. Yesudas;4;963;81;4
ANNA;4;962;513;2
Cutting Crew;4;961;377;8
Blue Ãyster Cult;4;961;151;3
Victony;4;960;130;7
Los Plebes del Rancho de Ariel Camacho;4;959;337;14
Pancho Barraza;4;957;300;1
Snoh Aalegra;4;954;140;8
ChiChi Peralta;4;951;889;28
Nate Smith;4;949;979;36
Ariel Camacho y Los Plebes Del Rancho;4;949;194;15
The Paul;4;946;393;9
Lloyd;4;941;595;1
Godsmack;4;941;595;2
Rocco Hunt;4;937;261;13
Michael Sembello;4;929;637;17
MC LCKaiique;4;919;994;62
BIBI;4;919;122;34
Tori Kelly;4;918;468;12
Nothing But Thieves;4;917;706;176
MC PR;4;915;531;7
PLK;4;910;763;4
MC Marks;4;909;466;32
Omar Courtz;4;907;524;67
Simge;4;906;555;14
Third Eye Blind;4;906;555;12
Nanpa BÃ¡sico;4;906;16;7
Arsy Widianto;4;904;941;6
K391;4;902;685;107
yuji;4;901;934;39
Andra & The Backbone;4;900;6;26
Jay Trak;4;895;628;67
Mohammed Irfan;4;894;137;1
Belinda Carlisle;4;893;392;8
Tee Grizzley;4;890;843;174
MotÃ¶rhead;4;889;676;2
Glee Cast;4;888;511;10
Vini Vici;4;887;982;12
Swarnalatha;4;886;185;12
Cochise;4;885;446;4
Armand Van Helden;4;879;972;25
Alexandra Stan;4;878;608;1
LAGOS;4;874;840;13
Eric Carmen;4;871;85;13
SIRA;4;870;877;30
Russell Dickerson;4;870;565;15
Blueface;4;870;45;90
Bella Poarch;4;869;5;13
BUNT.;4;867;240;43
Juicy Luicy;4;866;929;5
Tom Morello;4;866;515;14
Mandy Moore;4;865;582;3
The Righteous Brothers;4;864;340;8
Shiva;4;863;306;11
Clementine Douglas;4;860;5;34
Michael Kiwanuka;4;858;358;2
Sam Tinnesz;4;856;919;12
Mimi Webb;4;852;921;31
The Cinematic Orchestra;4;845;681;1
Diego Torres;4;842;536;19
Aruma;4;837;482;7
Conjunto Primavera;4;837;281;16
Bonez MC;4;836;877;6
La Santa Grifa;4;834;60;14
The Supremes;4;832;252;12
Isaiah Rashad;4;831;651;5
Naiara Azevedo;4;831;149;3
The Red Jumpsuit Apparatus;4;827;148;1
Berlin;4;826;450;28
Interplanetary Criminal;4;824;456;6
Kaifi Khalil;4;823;63;12
Lary Over;4;822;864;1
Vaundy;4;822;765;11
grandson;4;820;183;6
Bo Burnham;4;819;390;4
High School Musical Cast;4;816;816;1
Jordin Sparks;4;816;125;8
Bnxn;4;815;532;4
Jon Bellion;4;813;559;8
Lil Tracy;4;813;67;3
Pyotr Ilyich Tchaikovsky;4;811;98;8
MC Kevinho;4;810;116;10
Village People;4;809;330;24
Alex Ubago;4;808;251;1
Allman Brothers Band;4;804;239;684
Juicy J;4;804;43;6
Belo;4;803;946;4
Alina Baraz;4;802;92;27
Bappi Lahiri;4;799;463;972
Uncle Kracker;4;798;977;10
BROCKHAMPTON;4;796;550;8
Craig David;4;793;65;4
WOS;4;789;110;38
Los Cadetes De Linares;4;786;802;7
HRVY;4;786;226;20
Sonny Fodera;4;785;746;34
CORBAL;4;783;445;478
Nic D;4;782;775;12
Diego Verdaguer;4;779;431;15
T3R Elemento;4;778;573;3
Nitesh Ujoli;4;776;763;2
Sunny Yaduvanshi;4;774;197;2
cade clair;4;773;628;17
Lou Bega;4;772;301;7
Sheila On 7;4;768;706;16
Toledo;4;766;349;12
Sorriso Maroto;4;765;783;10
Paolo Nutini;4;765;689;18
Hensonn;4;764;278;1
Lali;4;763;808;96
Chaka Khan;4;760;898;8
Grupo Los de la O;4;759;681;842
Os BarÃµes Da Pisadinha;4;758;839;51
Sefo;4;758;90;1
R.K.M & KenY;4;757;530;4
Priya Saraiya;4;754;79;20
MC Celo BK;4;751;289;61
Ãejo & Dalmata;4;746;9;1
Corona;4;742;504;27
Poppy Baskcomb;4;740;296;33
Silambarasan TR;4;739;561;5
Los Abuelos De La Nada;4;739;10;13
Jaziel Avilez;4;738;918;1
Dylan Matthew;4;738;551;1
$werve;4;734;522;8
Lucas Estrada;4;732;878;7
CÃ³digo FN;4;731;146;104
YoYo Ma;4;728;871;18
Corey Kent;4;728;144;9
Keala Settle;4;725;694;3
Zak Abel;4;724;878;5
ATrak;4;724;697;9
Fabio Asher;4;722;346;2
Sickick;4;721;533;7
Sanam;4;720;811;23
Gustavo Cerati;4;720;541;5
Reynmen;4;720;0;1
Ado;4;713;261;12
Redbone;4;712;187;9
Gabriela Rocha;4;712;187;19
Royal Philharmonic Orchestra;4;708;971;6
Amy Macdonald;4;708;703;15
Tippu;4;708;79;4
Bullet For My Valentine;4;707;545;7
That Mexican OT;4;706;743;34
Fernando & Sorocaba;4;706;476;23
Kenny Beats;4;704;609;14
KenY;4;701;771;23
James TW;4;701;62;15
Chimbala;4;700;266;21
Richard Marx;4;698;322;11
Los Invasores De Nuevo LeÃ³n;4;696;29;1
Noah;4;694;972;20
The Greatest Showman Ensemble;4;694;532;5
Roberta Flack;4;693;477;25
Chris Janson;4;692;335;39
Pav Dharia;4;691;457;10
The Backseat Lovers;4;690;405;3
putri dahlia;4;688;654;45
Stacey Ryan;4;688;479;29
MC Caverinha;4;686;731;50
Hugh Jackman;4;686;557;7
Iggy Pop;4;686;33;6
Caio Luccas;4;684;289;5
Janieck;4;684;289;15
Grupo Mojado;4;683;854;24
Gigamesh;4;683;505;1
Mano;4;681;71;6
Rupert Holmes;4;680;810;1
Manni Sandhu;4;680;723;2
Imran Khan;4;678;295;4
Michel TelÃ³;4;676;564;10
Mijares;4;675;872;13
Lil Mabu;4;675;181;11
Jon Batiste;4;674;490;2
Kaash Paige;4;672;507;13
Erik Satie;4;672;421;14
Switch Disco;4;669;668;6
Jaden;4;669;410;9
MUPP;4;664;783;6
Joel De La P;4;661;794;14
Carly Pearce;4;660;90;22
Roisee;4;659;920;70
SCH;4;655;927;14
Naresh Kamath;4;655;757;42
Barry White;4;653;640;11
OBOY;4;651;526;2
Leon James;4;647;229;5
The Magician;4;645;212;5
BjÃ¶rn Skifs;4;641;777;18
Prabh Singh;4;641;693;63
S.P. Charan;4;640;105;7
Jawsh 685;4;639;354;250
Paresh Kamath;4;638;603;42
R. Kelly;4;637;769;1
Tesher;4;637;769;21
Morray;4;637;686;584
Rixton;4;634;524;10
Conrad Sewell;4;628;807;12
Tom Misch;4;627;651;18
Thin Lizzy;4;624;354;1
Zahrah S Khan;4;624;190;2
Anson Seabra;4;621;971;8
Kid Ink;4;620;248;11
cakal;4;620;2;820
Nena;4;619;183;6
NEIMY;4;618;774;4
Guilherme & Santiago;4;613;712;8
Hadise;4;613;468;13
Hollywood Undead;4;605;356;9
DVBBS;4;603;419;20
Arem Ozguc;4;601;565;6
Arman Aydin;4;601;404;6
Pooh Shiesty;4;599;956;23
Claptone;4;594;344;5
Sam Tompkins;4;593;385;4
Super Yei;4;591;549;16
Pablo ChillE;4;590;433;11
Anna Kendrick;4;589;796;1
Grupo RevelaÃ§Ã£o;4;589;558;39
Mitchell Tenpenny;4;589;160;36
Nico & Vinz;4;585;982;635
Inspector;4;579;576;8
Ammy Virk;4;579;261;13
DÃ­melo Flow;4;576;34;9
Ken Carson;4;575;485;5
RunâD.M.C.;4;574;150;20
James Brown;4;570;470;11
Warren Zeiders;4;567;972;24
DJ Ak beats;4;567;583;15
Liana Flores;4;565;636;8
Fabolous;4;561;211;1
Monica;4;561;56;7
Madcon;4;560;978;13
Alexis y Fido;4;559;585;7
Rick Springfield;4;559;276;2
Emir Can Ä°Ärek;4;558;425;14
A Great Big World;4;557;885;4
Divya Kumar;4;557;653;8
Los Gemelos De Sinaloa;4;557;576;30
XG;4;553;184;35
MC Davo;4;553;184;31
Tiziano Ferro;4;552;723;13
Cheap Trick;4;552;646;5
Daniel Hope;4;552;416;1
Against The Current;4;551;725;21
Mc Tato;4;550;957;9
Geolier;4;548;122;307
Chani Nattan;4;546;364;5
Mani Sharma;4;545;830;10
Bryce Vine;4;544;533;23
Dent May;4;544;304;34
Aleks Syntek;4;543;313;12
LucaDante Spadafora;4;543;161;29
Adie;4;541;183;11
Ananya Bhat;4;541;31;3
Ben Howard;4;540;575;1
Pixote;4;539;57;37
Barbra Streisand;4;536;860;8
Ludwig GÃ¶ransson;4;535;876;4
Mukesh;4;534;440;14
Niska;4;533;157;10
Major RD;4;522;650;62
Amanda Seyfried;4;521;233;5
Ranjith Govind;4;521;83;12
Tedua;4;519;147;670
Luther Vandross;4;518;328;11
MERO;4;516;990;1
ZHU;4;514;320;38
jnhygs;4;514;98;15
Ray LaMontagne;4;514;24;7
Poison;4;511;65;18
Four Tet;4;510;844;33
JosÃ© Feliciano;4;504;880;294
Wheatus;4;504;440;23
PnB Rock;4;503;706;2
DYSTINCT;4;503;633;11
Vegedream;4;500;192;6
Nadson O Ferinha;4;500;192;10
Kanishk Seth;4;496;543;6
Vicentico;4;495;815;11
LIZOT;4;495;15;15
Peter Plate;4;495;15;14
Showtek;4;494;361;7
Blind Melon;4;492;763;11
Mustafa Zahid;4;489;68;72
Dan Caplen;4;488;56;1
fam0uz;4;487;261;10
Yovie Widianto;4;482;76;12
Hypaton;4;479;350;17
Dybbukk;4;479;278;12
Carpenters;4;477;918;6
Disco Lines;4;476;702;15
Ulf Leo Sommer;4;475;987;15
Staind;4;474;988;214
Vicetone;4;473;206;7
Ben&Ben;4;472;921;2
Olivia O'Brien;4;472;778;3
Shiraz Uppal;4;471;924;7
Julien Marchal;4;471;426;21
RubÃ©n Blades;4;469;863;3
Aloe Blacc;4;465;470;14
Kapil Kapilan;4;462;433;66
Kontra K;4;462;10;19
Ali Sethi;4;461;658;7
Pouya;4;454;776;8
Ayparia;4;453;28;70
t.A.T.u.;4;452;888;4
Xanemusic;4;451;352;1
Nina Chuba;4;450;864;70
Fran C;4;449;818;6
Night Lovell;4;448;913;4
Sophie and the Giants;4;445;924;1
ZÃ© Vaqueiro;4;445;716;25
Otto Knows;4;442;806;9
Ravi Basrur;4;436;115;8
Lucas & Steve;4;431;792;17
Harish Raghavendra;4;430;287;6
MÅnia;4;429;740;10
Blue Swede;4;428;442;14
Gorgon City;4;427;623;8
SXMPRA;4;426;124;681
Hamza;4;425;579;15
Ikka;4;425;307;3
Srinivas;4;420;12;1
MÃ½a;4;418;997;12
Take That;4;418;862;3
Toni Braxton;4;418;862;5
Rich Music LTD;4;418;118;5
Madan Mohan;4;417;780;6
Snakehips;4;416;767;22
Shae Gill;4;416;497;202
TayK;4;415;620;14
Waylon Jennings;4;414;811;2
Shoti;4;413;599;10
JoÃ£o Bosco & Vinicius;4;408;832;34
Djavan;4;408;95;11
Fedez;4;407;894;21
CHVRCHES;4;403;219;10
DJ Yuri Martins;4;401;888;11
SaltNPepa;4;399;893;24
Skank;4;398;35;14
Dhibu Ninan Thomas;4;397;703;6
Manan Bhardwaj;4;397;41;43
Jon Secada;4;392;941;263
jhope;4;392;348;2
Joy Division;4;392;150;11
Pinguini Tattici Nucleari;4;391;952;22
La T y La M;4;391;293;3
Modest Mouse;4;387;676;3
Afro Bros;4;384;6;31
thiarajxtt;4;383;940;6
Mr Eazi;4;383;417;2
Twista;4;379;827;19
Naughty Boy;4;377;548;36
Kizz Daniel;4;374;432;6
Pinkfong;4;371;131;6
Laura Branigan;4;368;807;7
BIN;4;368;162;774
DJ Scheme;4;367;131;3
Molotov;4;359;370;3
Hande Yener;4;359;306;7
TWISTED;4;357;455;13
Julio Iglesias;4;353;126;12
I Prevail;4;352;808;1
PNL;4;349;511;126
Damas Gratis;4;349;68;23
Baby Bash;4;347;930;6
Yellowcard;4;346;982;20
Dj Chetas;4;345;530;17
Shruti Pathak;4;345;467;4
ANOTR;4;342;4;3
Meat Loaf;4;340;434;8
La Sonora Dinamita;4;338;616;7
NO1NOAH;4;335;550;2
lucaf.;4;335;550;11
Sebastian Ingrosso;4;334;551;7
Puddle Of Mudd;4;331;871;10
Headie One;4;327;832;33
Spandau Ballet;4;325;602;7
Rkomi;4;322;636;3
Imogen Heap;4;318;817;43
Annalisa;4;318;633;4
Travis Tritt;4;318;141;8
LegiÃ£o Urbana;4;318;80;32
Agust D;4;315;441;5
Seu Jorge;4;312;748;20
Drowning Pool;4;309;452;5
Onda Sabanera;4;306;896;304
Mura Masa;4;305;378;76
SG Lewis;4;298;481;1
Grupo Recluta;4;297;878;19
Chalino Sanchez;4;296;192;5
Styx;4;295;710;2
Kris Kristofferson;4;294;989;13
Tierry;4;293;968;27
Ritviz;4;292;828;1
Merk & Kremont;4;292;348;8
Parson James;4;291;689;7
Christopher Jackson;4;286;251;43
Rush;4;285;59;5
YBN Nahmir;4;281;434;3
JosÃ© Luis Perales;4;279;952;1
Olamide;4;279;241;415
Shalmali Kholgade;4;277;53;6
La Receta;4;276;935;22
Violet Days;4;274;633;37
